sedol,country,marketclass,security,industry,weightchange,excessvolume,pricechangepercent
BSDHYK1,SOUTH AFRICA,EMSC,METAIR INVESTMENTS,Automobiles & Components,0.504610957,-0.302475547,-0.005586592
B40B271,JAPAN,DMSC,EZAKI GLICO CO,Food Beverage & Tobacco,0.504812082,-0.439081644,0.010204082
BZ3DNP6,SPAIN,DM,CAIXABANK,Banks,0.505237162,-0.332132138,0.034129693
B95JCB9,USA,DMSC,HYSTER-YALE A,Capital Goods,0.505432103,-0.122352564,0.011663286
B51BMR7,USA,DMSC,OMEGA FLEX,Capital Goods,0.505492,-0.081816406,0.014524328
2387701,USA,DMSC,ICONIX BRAND GROUP,Consumer Durables & Apparel,0.505505506,-0.214806771,0.0111023
2122355,JAPAN,DMSC,UNIZO HOLDINGS CO,Real Estate,0.505668953,-0.030670506,-0.016853933
B67M8D9,UNITED KINGDOM,DMSC,ALDERMORE GROUP,Banks,0.505896987,-0.205674675,-0.01145288
BT8J595,BRAZIL,EMSC,RANDON PARTICIPACOES PN,Capital Goods,0.505957697,0.976711336,-0.016372796
BDCG2C2,ITALY,DMSC,MEDIASET,Media,0.506480828,0.87565594,0.028917283
B0XZXV3,KOREA,EMSC,HANSOL TECHNICS CO,Semiconductors & Semiconductor Equipment,0.506901741,-0.303404698,0.001527884
B7Y5P59,HONG KONG,DMSC,CSI PROPERTIES,Real Estate,0.50738239,2.013591317,-0.130952381
B8DG7Z4,SWEDEN,DM,MILLICOM INTL CELL SDR,Telecommunication Services,0.507385987,-0.639812775,-0.031496063
B046P42,TAIWAN,EMSC,FAR EAST DEPT STORES,Retailing,0.507479562,0.551599667,-0.028125
2002587,JAPAN,DMSC,MILBON CO,Household & Personal Products,0.507830259,-0.240305992,0
B5TZQH9,TAIWAN,EM,TAIMED BIOLOGICS,"Pharmaceuticals, Biotechnology & Life Sciences",0.507863361,-0.063556902,-0.011840689
B6VTL04,USA,DMSC,ESSENT GROUP,Banks,0.507869226,0.090267119,0.00136147
B29VFC4,FRANCE,DMSC,CHARGEURS,Consumer Durables & Apparel,0.507942671,-0.285858735,0.024169184
B3M4R76,JAPAN,DMSC,ROYAL HOLDINGS,Consumer Services,0.508093517,-0.112285571,0.004301075
B4VGVM3,HONG KONG,DM,ASM PACIFIC TECHNOLOGY,Semiconductors & Semiconductor Equipment,0.508117333,-0.149087516,-0.010075567
B0B55N1,USA,DMSC,RETAILMENOT 1,Software & Services,0.50828451,-0.363533946,0.001574803
B6621M0,JAPAN,DMSC,SAINT MARC HOLDINGS CO,Consumer Services,0.508290218,1.582275544,-0.025581395
B011205,JAPAN,DMSC,KINDEN CORP,Capital Goods,0.508317784,-0.429566769,0.007776377
B67JFX9,TAIWAN,EM,FUBON FINANCIAL HOLDING,Diversified Financials,0.508982618,0.105998712,-0.045614035
B3K3G89,PAKISTAN,EMSC,INTERNATIONAL STEELS,Materials,0.50905098,1.160918248,-0.033557047
2099084,SINGAPORE,DMSC,ASCENDAS HPTY TRUST MGMT,Real Estate,0.509157466,-0.085069045,0.007285974
B3QFW69,SWEDEN,DMSC,ORESUND INVESTMENT,Diversified Financials,0.509490645,-0.015273375,-0.000616713
B9B3FG1,BRAZIL,EMSC,CYRELA BRAZIL REALTY ON,Consumer Durables & Apparel,0.509496255,0.637780978,0.005507956
BLMP601,GERMANY,DMSC,NORDEX,Capital Goods,0.509603763,-0.313727213,-0.003207184
B01R1T5,ITALY,DMSC,SOGEFI,Automobiles & Components,0.509737723,1.806354613,-0.004524887
B97DSV1,SOUTH AFRICA,EMSC,BLUE LABEL TELECOMS LTD,Commercial & Professional Services,0.510015116,-0.161343287,0.007481297
2117599,JAPAN,DM,NISSHIN SEIFUN GROUP,Food Beverage & Tobacco,0.510151365,-0.124671362,-0.007117438
B5KW4L9,SINGAPORE,DMSC,LIPPO MALLS INDONESIA,Real Estate,0.510378687,-0.423569599,-0.003115265
2173052,CHINA,EMSC,BEP INTL HOLDINGS (CN),Capital Goods,0.510472429,0.083670768,0.003484321
2188283,AUSTRALIA,DM,COCA-COLA AMATIL,Food Beverage & Tobacco,0.510562477,1.246322357,0.000824742
2173182,SOUTH AFRICA,EMSC,ATTACQ,Real Estate,0.511239209,-0.353029285,-0.002457002
B18P4F6,FRANCE,DM,EIFFAGE,Capital Goods,0.511448322,-0.30365097,-0.004655975
B63XT22,GERMANY,DMSC,KION GROUP,Capital Goods,0.511517335,-0.209183873,-0.0112
BYTN3W0,TAIWAN,EMSC,FAR EASTERN INTL BANK,Banks,0.512036597,-0.54453541,-0.026143791
B13YVG8,JAPAN,DMSC,NITTO KOGYO CORP,Capital Goods,0.512175776,-0.51782262,0.002949853
B61KF83,SOUTH AFRICA,EMSC,ZEDER INVESTMENTS,Diversified Financials,0.512263122,-0.415491576,-0.01399689
BWTN6X8,JAPAN,DMSC,SEKISUI JUSHI CORP,Capital Goods,0.512323377,0.243067617,0.001209677
BH8B735,KOREA,EMSC,KOLON INDUSTRIES (NEW),Materials,0.512421697,1.457548855,-0.02739726
2179254,USA,DMSC,Q2 HOLDINGS,Software & Services,0.512479362,-0.089102394,0.007985258
2263362,NORWAY,DM,DNB,Banks,0.512510091,-0.386281385,-0.001612903
B01NXQ4,JAPAN,DMSC,FCC CO,Automobiles & Components,0.513163779,-0.318182232,-0.007761966
2750488,JAPAN,DM,RAKUTEN,Retailing,0.51329383,-0.024726051,0.037433155
BBX46Q3,TAIWAN,EMSC,PRINCE HOUSING DEV,Real Estate,0.513900308,-0.288461078,-0.002877698
BD2C5N2,KOREA,EMSC,SONGWON INDUSTRIAL CO,Materials,0.51420904,-0.128762279,0
B682FM6,USA,DMSC,ALLEGIANCE BANCSHARES,Banks,0.51441053,-0.024939682,-0.012352828
B709K94,USA,DMSC,PRICESMART,Food & Staples Retailing,0.51462366,-0.543529985,-0.018851757
2186890,TAIWAN,EM,FOXCONN TECHNOLOGY CO,Technology Hardware & Equipment,0.514695424,-0.368840168,0.000447427
BZCDFX9,AUSTRALIA,DMSC,QUBE HOLDINGS,Transportation,0.5150411,-0.087434951,-0.00252589
BYL7SB4,SWEDEN,DMSC,NORDAX GROUP,Banks,0.515083213,-0.237250899,0.021990414
2419927,JAPAN,DMSC,JAPAN PULP & PAPER CO,Capital Goods,0.515094723,-0.108884424,-0.001526718
2223355,JAPAN,DMSC,OKABE CO,Capital Goods,0.515120675,-0.128352238,-0.003894839
BGFM9N8,JAPAN,DM,RECRUIT HOLDINGS CO,Commercial & Professional Services,0.515215906,-0.03352239,0.004824561
2484516,JAPAN,DMSC,SUMCO,Semiconductors & Semiconductor Equipment,0.515254785,-0.170006989,0.002250563
2228952,FRANCE,DMSC,LE NOBLE AGE,Health Care Equipment & Services,0.515542772,-0.360043595,0.003378378
2554721,FRANCE,DMSC,ELIOR GROUP,Consumer Services,0.515592671,-0.251022367,-0.02195122
2900205,JAPAN,DMSC,F@N COMMUNICATIONS,Software & Services,0.516264693,-0.00681271,0.028714107
B11YBV5,USA,DMSC,1ST SOURCE CORP,Banks,0.516448452,-0.306281471,0.004867872
BFSRSC5,ISRAEL,DM,FRUTAROM,Materials,0.516725509,0.24361837,0.004657352
2003223,USA,DMSC,NATL WESTERN LIFE A,Insurance,0.516849195,-0.468028807,-0.016393443
2141941,USA,DMSC,INTRA CELLUAR THERAPIES,"Pharmaceuticals, Biotechnology & Life Sciences",0.51687389,-0.10870363,0.016245487
B1PMQ65,USA,DMSC,HOOKER FURNITURE CORP,Consumer Durables & Apparel,0.517252683,-0.615771361,0.006332758
BMH4NV0,UNITED KINGDOM,DMSC,IQE,Semiconductors & Semiconductor Equipment,0.517866547,-0.766905473,0.000787402
BH13VJ2,JAPAN,DMSC,SMK CORP,Technology Hardware & Equipment,0.518586012,0.082220818,0.001564945
B95LX89,SOUTH AFRICA,EM,SANLAM,Insurance,0.519211014,-0.682350725,0.008690614
2262369,USA,DM,NORDSTROM,Retailing,0.519321656,0.655078592,0.012669162
BMJ71D5,TAIWAN,EMSC,TOPKEY CORP,Consumer Durables & Apparel,0.51935253,-0.209002556,0.001923077
BMH4P92,JAPAN,DMSC,PACIFIC METALS CO,Materials,0.519362595,-0.437362718,0.010477299
BMJJVS6,GERMANY,DMSC,SIXT LEASING,Transportation,0.519377584,-0.428480856,0.004032258
BB2D0Q9,KOREA,EMSC,HAN KUK CARBON CO,Materials,0.519421571,-0.578186966,-0.034974093
2285441,POLAND,EM,BANK PEKAO,Banks,0.519600277,1.463081375,-0.058103976
BYVZ982,FRANCE,DMSC,PARROT,Technology Hardware & Equipment,0.520298857,0.467962933,-0.023809524
2307873,MALAYSIA,EMSC,TOP GLOVE CORP,Health Care Equipment & Services,0.520308166,1.461472819,-0.042154567
B5PJ0N9,JAPAN,DMSC,NIPPON CHEMI-CON CORP,Technology Hardware & Equipment,0.520349726,0.00374362,0.00092564
BDGN4L2,SPAIN,DMSC,MIQUEL Y COSTAS,Materials,0.520469665,-0.365198332,0.006616257
2980003,BRAZIL,EM,SUL AMERICA UNITS,Insurance,0.52054541,-0.481115312,0.00255102
B3M62G6,CANADA,DMSC,SEABRIDGE GOLD,Materials,0.520838259,0.857218049,0.00524659
B4Y2RV9,TAIWAN,EMSC,HIROCA HOLDINGS,Automobiles & Components,0.521221373,-0.058544088,-0.007523148
B584T89,JAPAN,DMSC,JOSHIN DENKI CO,Retailing,0.52128785,0.097900167,-0.005602241
2282237,JAPAN,DMSC,TEIKOKU SEN-I CO,Capital Goods,0.521562843,-0.41175744,-0.002195946
2317623,UNITED KINGDOM,DMSC,PETS AT HOME GROUP,Retailing,0.521884853,-0.244710566,0.061349693
B00GQP4,PAKISTAN,EMSC,PAK ELEKTRON,Capital Goods,0.522089066,-0.56657439,0.000400802
B17XX09,HONG KONG,DMSC,VTECH HOLDINGS,Technology Hardware & Equipment,0.522318581,-0.37287655,-0.014801658
B3VHDS9,USA,DMSC,US STEEL CORP,Materials,0.52245509,0.731174743,-0.041809851
2325392,USA,DMSC,ATLANTIC CAPITAL BANCSHS,Banks,0.52248256,-0.295205918,-0.01826087
B86RZZ0,AUSTRALIA,DMSC,NAVITAS,Consumer Services,0.522724968,-0.515839236,-0.001937984
B64JBZ6,USA,DMSC,FTD COMPANIES,Retailing,0.522960667,-0.05461754,0.006498195
2833583,USA,DM,RALPH LAUREN CORP A,Consumer Durables & Apparel,0.523313467,-0.412454778,-0.006156552
B3NDMC2,USA,DMSC,REALPAGE,Software & Services,0.523591219,-0.041233865,0.004769475
BYL7ZF7,JAPAN,DM,START TODAY,Retailing,0.523941527,0.997692453,0.025233531
2383033,JAPAN,DMSC,RENGO CO,Materials,0.523979376,-0.237558491,0.006319115
B3SJKB0,UNITED KINGDOM,DMSC,BLUE PRISM GROUP,Software & Services,0.524034875,0.093671707,-0.023431595
B3NWJQ2,GERMANY,DM,THYSSEN KRUPP,Materials,0.524228404,0.463683166,-0.014184397
B44WH97,CANADA,DMSC,DREAM UNLIMITED A,Real Estate,0.524354014,0.029899856,-0.003891051
B15S1Y6,CHINA,EMSC,KINGDEE INTL SOFTWARE,Software & Services,0.524859187,-0.546206359,-0.006476684
B9GS088,ITALY,DM,TELECOM ITALIA,Telecommunication Services,0.525341105,-0.06824915,-0.001950458
2380573,CHINA,EMSC,CHINA YURUN FOOD GROUP,Food Beverage & Tobacco,0.525369513,-0.077115631,0.001668753
B07J7D1,USA,DMSC,REPUBLIC FIRST BANCORP,Banks,0.525379621,-0.232872707,-0.012773723
2626965,HONG KONG,DMSC,NEWOCEAN ENERGY HLDGS,Energy,0.525667301,0.080671064,0.001545595
2434180,SWEDEN,DMSC,PROBI AB,"Pharmaceuticals, Biotechnology & Life Sciences",0.526055918,-0.385383418,0
B05BDX1,USA,DMSC,NEFF CORP A,Capital Goods,0.526155389,-0.148587517,-0.019858156
B8436W4,USA,DM,ESTEE LAUDER COS A,Household & Personal Products,0.526158254,-0.716385498,0.017
2446646,USA,DMSC,SOUTHWEST BANCORP,Banks,0.526233292,-0.419102347,0.045138889
2878937,USA,DMSC,LEMAITRE VASCULAR,Health Care Equipment & Services,0.526326066,0.385036728,-0.053742802
B29TNV3,FRANCE,DMSC,GAZTRANSPORT ET TECHNIGA,Energy,0.526432884,-0.392010375,0.016678249
BMJ71W4,CHINA,EMSC,LI NING CO,Consumer Durables & Apparel,0.526621239,-0.437239086,-0.023809524
B1L9R12,TAIWAN,EMSC,HUNG POO REAL ESTATE DEV,Real Estate,0.526622159,-0.015766301,-0.004950495
2459901,USA,DMSC,PEOPLE'S UTAH BANCORP,Banks,0.527162615,-0.176656996,-0.00341006
BD73C40,SWEDEN,DMSC,ALIMAK HEK GROUP,Capital Goods,0.527423098,-0.390017277,-0.02278481
B63MCN1,USA,DM,SEATTLE GENETICS,"Pharmaceuticals, Biotechnology & Life Sciences",0.52762017,0.13456059,-0.011188811
B9KF5Q8,USA,DMSC,COUPA SOFTWARE,Software & Services,0.527985932,-0.325423559,-0.011023622
BYZ1856,USA,DMSC,RYERSON HOLDING CORP,Materials,0.528423359,0.051062586,0.007936508
BN85P68,NORWAY,DMSC,XXL,Retailing,0.528630014,-0.206008387,-0.000333222
BD4G349,USA,DMSC,BIOTIME,"Pharmaceuticals, Biotechnology & Life Sciences",0.528816012,-0.048011845,0.01842871
2495228,JAPAN,DMSC,FUYO GENERAL LEASE CO,Diversified Financials,0.530112014,-0.17135783,-0.01703163
BK6WN77,JAPAN,DMSC,ARC LAND SAKAMOTO CO,Retailing,0.530384118,-0.44447657,0.006024096
B8L02P3,PAKISTAN,EMSC,FAUJI FERTILIZER BIN QAS,Materials,0.530472631,0.084969484,-0.036723164
2077347,SOUTH AFRICA,EMSC,DIS CHEM PHARMACIES,Food & Staples Retailing,0.530487771,0.36512569,-0.005347594
2018506,UNITED KINGDOM,DMSC,HOTEL CHOCOLAT GROUP,Food Beverage & Tobacco,0.530521742,3.374921291,0.012170385
2862565,USA,DMSC,UMH PROPERTIES,Real Estate,0.530604065,0.154862058,0.030927835
BTKSSY6,CHINA,EM,TENCENT HOLDINGS LI (CN),Software & Services,0.53067133,1.928593039,-0.004862237
2866857,USA,DMSC,MIDSTATES PETROLEUM,Energy,0.531346244,-0.259790011,-0.03125
2610883,USA,DMSC,ARCBEST CORP,Transportation,0.5313708,-0.142544115,0
2581332,USA,DMSC,ACCELERATE DIAGNOSTICS,"Pharmaceuticals, Biotechnology & Life Sciences",0.531430007,-0.271388313,0.019435737
2556987,USA,DMSC,SYSTEMAX,Technology Hardware & Equipment,0.531549624,-0.639375828,0
2557515,USA,DMSC,AMERICAN ASSETS TRUST,Real Estate,0.532433708,-0.472790128,-0.020725389
2555865,ISRAEL,DMSC,EL AL ISRAEL AIRLINES,Transportation,0.532526218,-0.247839524,-0.006081668
2107620,BRAZIL,EM,CCR ON,Transportation,0.532918423,-0.422580105,-0.007104796
B4NPRQ4,SINGAPORE,DMSC,YOMA STRATEGIC HLDGS,Real Estate,0.532945431,-0.272223127,-0.028484848
B4XF9J1,AUSTRALIA,DMSC,MINERAL RESOURCES,Materials,0.533530606,-0.005940397,-0.056672761
2121448,KOREA,EMSC,HANSOL PAPER CO (NEW),Materials,0.533674435,2.029436776,-0.002675585
B64ZLH6,POLAND,EMSC,CD PROJEKT,Software & Services,0.533840597,-0.239430178,-0.001412429
2514275,FRANCE,DMSC,S.O.I.T.E.C.,Semiconductors & Semiconductor Equipment,0.533843111,-0.375750321,0.012920991
B4MMW16,FRANCE,DMSC,GROUPE FNAC,Retailing,0.534245122,-0.522030348,0.015667575
2631486,CHINA,EMSC,SSY GROUP,"Pharmaceuticals, Biotechnology & Life Sciences",0.534318048,0.015907458,-0.003067485
B6QHJ10,NORWAY,DMSC,GAMING INNOVATION GROUP,Software & Services,0.534343101,0.239316987,-0.00803428
2826947,JAPAN,DMSC,SIIX CORP,Technology Hardware & Equipment,0.534360065,-0.62050524,0.018276762
B987K72,TAIWAN,EMSC,FOCALTECH SYSTEMS CO,Semiconductors & Semiconductor Equipment,0.534430993,-0.172970463,0.037288136
2641441,JAPAN,DMSC,SHOWA SANGYO CO,Food Beverage & Tobacco,0.535368462,-0.36988578,-0.016858238
B63BQX6,USA,DMSC,RADIUS HEALTH,"Pharmaceuticals, Biotechnology & Life Sciences",0.53539662,-0.24180963,0.003731343
BP8Y3X2,USA,DMSC,INNOVIVA,"Pharmaceuticals, Biotechnology & Life Sciences",0.535927778,0.050507712,-0.053412463
B68XHC3,SWEDEN,DMSC,STARBREEZE B,Software & Services,0.536205116,-0.309570109,-0.002988898
BYZGBB8,SOUTH AFRICA,EMSC,ASCENDIS HEALTH,"Pharmaceuticals, Biotechnology & Life Sciences",0.53624556,-0.186476282,0.002359604
B4Y8WM3,JAPAN,DMSC,KOMEDA HOLDINGS,Consumer Services,0.53633903,-0.214192596,-0.000929368
2135450,TAIWAN,EMSC,AMBASSADOR HOTEL (THE),Consumer Services,0.536471335,-0.367730512,0.019193858
2901167,TAIWAN,EMSC,USI CORP,Materials,0.53679964,-0.197586166,0.020833333
B1Z7L21,BRAZIL,EMSC,MAGNESITA REFRATARIOS ON,Materials,0.536871061,-0.273829654,0.004415011
BN60CQ4,MALAYSIA,EMSC,SUPERMAX CORP,Health Care Equipment & Services,0.536986509,0.193533711,0.007773852
BDBCBP7,JAPAN,DMSC,DAIWA OFFICE INV CORP,Real Estate,0.537154739,0.069220171,0.010526316
2669272,USA,DMSC,AQUAVENTURE HOLDINGS,Utilities,0.53741808,-0.337632146,0.005977797
B073FP1,USA,DMSC,ENOVA INTERNATIONAL,Diversified Financials,0.537863406,-0.061215455,-0.027364378
B575D14,AUSTRALIA,DMSC,AUTOMOTIVE HLDGS GROUP,Retailing,0.538331009,-0.189249875,-0.004910988
B3SQRQ5,KOREA,EM,HYUNDAI WIA CORP,Automobiles & Components,0.538468706,-0.497453757,-0.004533679
2569565,USA,DMSC,HACKETT GROUP,Software & Services,0.53854397,-0.388296414,0.002055498
B67M828,KOREA,EM,HYUNDAI MOTOR CO,Automobiles & Components,0.538686981,-0.283372339,-0.051724138
B63FY34,GERMANY,DMSC,CAPITAL STAGE,Utilities,0.538886388,-0.01163338,-0.015789474
B5YPLH9,USA,DMSC,CENTURY COMMUNITIES,Consumer Durables & Apparel,0.538991965,0.237040596,0.00204499
B1CF5B5,JAPAN,DMSC,FUJI PHARMA CO,"Pharmaceuticals, Biotechnology & Life Sciences",0.53914349,-0.453481667,0.00729927
B1VJFK7,USA,DMSC,FITBIT INC A,Technology Hardware & Equipment,0.53926149,-0.20926348,-0.006883941
B57Q8S9,USA,DMSC,REATA PHARMACEUTICALS A,"Pharmaceuticals, Biotechnology & Life Sciences",0.539695184,-0.42233073,-0.012965964
B4Z8FV2,KOREA,EM,HYUNDAI ENGR. & CONSTR.,Capital Goods,0.540280574,1.666763651,-0.180327869
2279938,JAPAN,DMSC,TAKARA LEBEN CO,Real Estate,0.540309076,-0.706969199,0.009950249
B2455Y3,CHINA,EMSC,NEW CENTURY HEALTHCARE,Health Care Equipment & Services,0.540583838,-0.166262624,0.008941878
2715777,JAPAN,DMSC,TEMP HOLDINGS CO,Commercial & Professional Services,0.540646641,-0.117722803,-0.004836759
B7N9Y55,TAIWAN,EMSC,KENDA RUBBER INDUSTRIAL,Automobiles & Components,0.540994125,-0.309757647,-0.006242197
2752826,KOREA,EMSC,SAMCHULLY CO,Utilities,0.541020946,-0.361172947,0.003154574
2345390,KOREA,EMSC,DAEDUCK ELECTRONICS CO,Technology Hardware & Equipment,0.541047201,-0.390150709,-0.007333806
B3Q12H8,CANADA,DMSC,TAMARACK VALLEY ENERGY,Energy,0.541167387,-0.353807863,0.0032
2248808,USA,DMSC,SINCLAIR BROADCAST GRP A,Media,0.541486565,0.394197078,-0.017933723
B7YC668,JAPAN,DMSC,NIPPON GAS CO,Energy,0.541655975,0.095747087,0.004385965
B1GBWF2,CHINA,EMSC,COOLPAD GROUP,Technology Hardware & Equipment,0.541901323,1.235410559,-0.005128205
2246459,USA,DMSC,YRC WORLDWIDE,Transportation,0.541958453,-0.33513983,0.011704462
B55SGV6,KOREA,EMSC,CHONG KUN DANG PHAR(NEW),"Pharmaceuticals, Biotechnology & Life Sciences",0.542177001,-0.393959797,0.00220022
2795371,SINGAPORE,DMSC,FIRST REIT,Real Estate,0.542215332,0.2019598,-0.021352313
B9M2YJ3,JAPAN,DMSC,TRUSCO NAKAYAMA CORP,Capital Goods,0.542595505,0.517390092,0.019588313
BX865C7,INDIA,EMSC,GATEWAY DISTRIPARKS,Transportation,0.54310718,3.6819345,0.016897711
BWTYXH4,INDIA,EM,MAHINDRA & MAHINDRA,Automobiles & Components,0.54321586,-0.272221262,0.008013738
2418968,USA,DMSC,BAR HARBOR BANKSHARES,Banks,0.543317491,1.331081529,-0.007051804
2218458,TAIWAN,EMSC,LAND MARK OPTOELECTRS,Semiconductors & Semiconductor Equipment,0.54346011,-0.418631918,0.003912363
2784261,USA,DM,CAMPBELL SOUP,Food Beverage & Tobacco,0.543510754,-0.174788077,0
BYP3H11,USA,DMSC,KEY ENERGY SERVICES,Energy,0.543810313,0.03021919,-0.018126888
BK74G73,FRANCE,DMSC,NEXANS,Capital Goods,0.543978121,-0.1926081,-0.013953488
BZ03B55,JAPAN,DMSC,NISHIMATSUYA CHAIN CO,Retailing,0.544228791,-0.168798907,0.00917899
B2RJSY3,KOREA,EMSC,DOOSAN INFRACORE CO,Capital Goods,0.544606788,0.728037887,-0.033755274
2854238,SWITZERLAND,DMSC,HELVETIA HOLDING,Insurance,0.544651901,-0.045717997,-0.00319081
2809777,USA,DM,HILTON WORLDWIDE HLDGS,Consumer Services,0.54470551,-0.450703845,0.006303467
2413219,TAIWAN,EM,OBI PHARMA,"Pharmaceuticals, Biotechnology & Life Sciences",0.54524418,-0.420623698,0.025
B1FQZ15,UNITED KINGDOM,DMSC,BROWN (N) GROUP,Retailing,0.54541163,0.228838281,0.001234568
B3KTPS0,UNITED KINGDOM,DMSC,NCC GROUP,Software & Services,0.545502193,-0.251553981,0.001677852
2290597,USA,DMSC,SERITAGE GROWTH PPTYS A,Real Estate,0.545656649,-0.234817452,-0.03030303
B5B9KV1,KOREA,EMSC,INTERPARK HOLDINGS CORP,Retailing,0.545697612,-0.21284004,-0.01320132
B8J3TH5,USA,DMSC,A10 NETWORKS,Software & Services,0.546153144,0.332800439,-0.042735043
BDRXBF4,JAPAN,DMSC,KATO SANGYO CO,Food & Staples Retailing,0.546288178,-0.181065282,-0.01744393
BDG21B8,USA,DMSC,INDEPENDENT BANK (MICH),Banks,0.546397663,-0.013808349,0
BYT0622,NORWAY,DMSC,NORDIC NANOVECTOR,"Pharmaceuticals, Biotechnology & Life Sciences",0.546530803,1.118400143,0.017956656
B8KH5G7,CHINA,EMSC,SPRING REAL ESTATE INV,Real Estate,0.546569905,0.191328708,0.014498934
BDV82P2,USA,DMSC,PDF SOLUTIONS,Semiconductors & Semiconductor Equipment,0.54742375,-0.248135049,-0.028571429
BD2NKY1,USA,DMSC,TRINET GROUP,Commercial & Professional Services,0.54773489,-0.249046404,0.017117117
2897103,JAPAN,DMSC,OKAMURA CORPORATION,Commercial & Professional Services,0.547949911,-0.223803362,0.004635762
B4YSN64,UNITED KINGDOM,DMSC,PAN AFRICAN RESOURCES,Materials,0.548026345,1.13040989,0.048689139
2901628,SWEDEN,DMSC,SAAB B,Capital Goods,0.548353335,0.02655987,0.003952569
BCZLSL8,FRANCE,DM,PEUGEOT SA,Automobiles & Components,0.548792854,-0.206196179,0.001919386
2357953,JAPAN,DMSC,ALPINE ELECTRONICS INC,Consumer Durables & Apparel,0.548839234,-0.279411832,-0.020273066
2869964,JAPAN,DMSC,NICHICON CORP,Technology Hardware & Equipment,0.549177872,-0.317311396,0.0025
B4NP281,TAIWAN,EMSC,YFY,Materials,0.549607017,0.580897494,0.039964476
B619L15,KOREA,EMSC,KC TECH CO,Semiconductors & Semiconductor Equipment,0.549726002,0.358509356,-0.016161616
B2QFWR3,SWEDEN,DMSC,BUFAB,Capital Goods,0.549863026,-0.020613572,-0.015
2932480,SOUTH AFRICA,EM,MMI HOLDINGS,Insurance,0.549990889,0.549520081,0.007960199
B085ST1,FRANCE,DMSC,DEVOTEAM,Software & Services,0.550385453,0.456631541,-0.01312336
B3Z87P3,SWEDEN,DMSC,HOLMEN B,Materials,0.550457191,-0.236458806,0.002203614
B66T819,SINGAPORE,DMSC,MAPLETREE GREATER CHINA,Real Estate,0.551240932,-0.453667138,-0.001262626
B02F2N9,JAPAN,DM,FAMILYMART UNY HLDGS CO,Food & Staples Retailing,0.55127578,-0.229622554,-0.023041475
BYN2G91,SINGAPORE,DM,SATS,Transportation,0.551282872,-0.312920206,-0.000434028
B8KB138,UNITED KINGDOM,DMSC,STAFFLINE GROUP,Commercial & Professional Services,0.551534577,0.198117892,0.008812616
B418WK4,USA,DMSC,SUTHERLAND ASSET MGMT,Diversified Financials,0.551796669,-0.028970752,-0.020320856
2972851,INDIA,EMSC,SINTEX INDUSTRIES,Capital Goods,0.551815684,0.004492648,0.008916324
B8KJHF6,NORWAY,DMSC,EUROPRIS,Retailing,0.551872974,-0.449870333,-0.005956813
